time,latitude,longitude,depth,mag,id,place
2005-10-08T03:50:40.800Z,34.539,73.588,26,7.6,usp000e12e,Pakistan
2005-09-26T01:55:37.670Z,-5.678,-76.398,115,7.5,usp000e09h,northern Peru
2005-09-09T07:26:43.730Z,-4.539,153.474,90,7.6,usp000dz2j,"New Ireland region, Papua New Guinea"
2005-08-16T02:46:28.400Z,38.276,142.039,36,7.2,usp000dxe2,"near the east coast of Honshu, Japan"
2005-07-24T15:42:06.210Z,7.92,92.19,16,7.2,usp000dvtc,"Nicobar Islands, India region"
2005-06-15T02:50:54.190Z,41.292,-125.953,16,7.2,usp000dt25,off the coast of Northern California
2005-06-13T22:44:33.900Z,-19.987,-69.197,115.6,7.8,usp000dsw1,"Tarapaca, Chile"
2005-03-28T16:09:36.530Z,2.085,97.108,30,8.6,official20050328160936530_30,"northern Sumatra, Indonesia"
2005-03-02T10:42:12.230Z,-6.527,129.933,201.7,7.1,usp000dhc1,Banda Sea
2005-02-05T12:23:18.940Z,5.293,123.337,525,7.1,usp000dfj2,Celebes Sea
2004-12-26T04:21:29.810Z,6.91,92.958,39.2,7.2,usp000dbg6,"Nicobar Islands, India region"
2004-12-26T00:58:53.450Z,3.295,95.982,30,9.1,official20041226005853450_30,off the west coast of northern Sumatra
2004-12-23T14:59:04.410Z,-49.312,161.345,10,8.1,usp000db93,north of Macquarie Island
2004-11-28T18:32:14.130Z,43.006,145.119,39,7,usp000d9h1,"Hokkaido, Japan region"
2004-11-26T02:25:03.310Z,-3.609,135.404,10,7.1,usp000d975,"Papua, Indonesia"
2004-11-22T20:26:23.900Z,-46.676,164.721,10,7.1,usp000d8ze,off the west coast of the South Island of New Zealand
2004-11-15T09:06:56.560Z,4.695,-77.508,15,7.2,usp000d8gx,near the west coast of Colombia
2004-11-11T21:26:41.150Z,-8.152,124.868,10,7.5,usp000d85g,"Kepulauan Alor, Indonesia"
2004-10-09T21:26:53.690Z,11.422,-86.665,35,7,usp000d63h,near the coast of Nicaragua
2004-09-05T14:57:18.610Z,33.184,137.071,10,7.4,usp000d3mb,"near the south coast of Honshu, Japan"
2004-09-05T10:07:07.820Z,33.07,136.618,14,7.2,usp000d3ka,"near the south coast of western Honshu, Japan"
2004-07-25T14:35:19.060Z,-2.427,103.981,582.1,7.3,usp000d0v4,"southern Sumatra, Indonesia"
2004-07-15T04:27:14.730Z,-17.656,-178.76,565.5,7.1,usp000d06s,Fiji region
2004-02-07T02:42:35.210Z,-4.003,135.023,10,7.3,usp000ckks,"near the south coast of Papua, Indonesia"
2004-02-05T21:05:02.840Z,-3.615,135.538,16.6,7,usp000ckg7,"Papua, Indonesia"
2004-01-03T16:23:21.020Z,-22.253,169.683,22,7.1,usp000cgz9,southeast of the Loyalty Islands
2003-12-27T16:00:59.450Z,-22.015,169.766,10,7.3,usp000cg90,southeast of the Loyalty Islands
2003-11-17T06:43:06.800Z,51.146,178.65,33,7.8,usp000cd1n,"Rat Islands, Aleutian Islands, Alaska"
2003-10-31T01:06:28.280Z,37.812,142.619,10,7,usp000cbpa,"off the east coast of Honshu, Japan"
2003-09-27T11:33:25.080Z,50.038,87.813,16,7.3,usp000c8sz,"southwestern Siberia, Russia"
2003-09-25T21:08:00.030Z,41.774,143.593,33,7.4,usp000c8mb,"Hokkaido, Japan region"
2003-09-25T19:50:06.360Z,41.815,143.91,27,8.3,usp000c8kv,"Hokkaido, Japan region"
2003-08-21T12:12:49.790Z,-45.104,167.144,28,7.2,usp000c5h6,South Island of New Zealand
2003-08-04T04:37:20.130Z,-60.532,-43.411,10,7.6,usp000c41f,Scotia Sea
